# Series Metadata
# Series ID: GDPC1
# Title: Real Gross Domestic Product
# Frequency: Quarterly
# Units: Billions of Chained 2017 Dollars
# Seasonal Adjustment: Seasonally Adjusted Annual Rate
# Observation Start: 1947-01-01
# Observation End: 2025-04-01
# Last Updated: 2025-09-25 07:48:01-05
# Notes: BEA Account Code: A191RX

Real gross domestic product is the inflation adjusted value of the goods and services produced by labor and property located in the United States.For more information see the Guide to the National Income and Product Accounts of the United States (NIPA). For more information, please visit the Bureau of Economic Analysis (http://www.bea.gov/national/pdf/nipaguid.pdf).
# Popularity: 94

# Observations
realtime_start,realtime_end,date,value
2025-09-25,2025-09-25,1947-01-01,2182.681
2025-09-25,2025-09-25,1947-04-01,2176.892
2025-09-25,2025-09-25,1947-07-01,2172.432
2025-09-25,2025-09-25,1947-10-01,2206.452
2025-09-25,2025-09-25,1948-01-01,2239.682
2025-09-25,2025-09-25,1948-04-01,2276.69
2025-09-25,2025-09-25,1948-07-01,2289.77
2025-09-25,2025-09-25,1948-10-01,2292.364
2025-09-25,2025-09-25,1949-01-01,2260.807
2025-09-25,2025-09-25,1949-04-01,2253.128
2025-09-25,2025-09-25,1949-07-01,2276.424
2025-09-25,2025-09-25,1949-10-01,2257.352
2025-09-25,2025-09-25,1950-01-01,2346.104
2025-09-25,2025-09-25,1950-04-01,2417.682
2025-09-25,2025-09-25,1950-07-01,2511.127
2025-09-25,2025-09-25,1950-10-01,2559.214
2025-09-25,2025-09-25,1951-01-01,2593.967
2025-09-25,2025-09-25,1951-04-01,2638.898
2025-09-25,2025-09-25,1951-07-01,2693.259
2025-09-25,2025-09-25,1951-10-01,2699.156
2025-09-25,2025-09-25,1952-01-01,2727.954
2025-09-25,2025-09-25,1952-04-01,2733.8
2025-09-25,2025-09-25,1952-07-01,2753.517
2025-09-25,2025-09-25,1952-10-01,2843.941
2025-09-25,2025-09-25,1953-01-01,2896.811
2025-09-25,2025-09-25,1953-04-01,2919.206
2025-09-25,2025-09-25,1953-07-01,2902.785
2025-09-25,2025-09-25,1953-10-01,2858.845
