# Series Metadata
# Series ID: POPTTLDEA148NRUG
# Title: Population for Germany
# Frequency: Annual
# Units: Millions of Persons
# Seasonal Adjustment: Not Seasonally Adjusted
# Observation Start: 1950-01-01
# Observation End: 2019-01-01
# Last Updated: 2021-01-21 13:29:49-06
# Notes: Source ID: pop

When using these data in your research, please make the following reference: Feenstra, Robert C., Robert Inklaar and Marcel P. Timmer (2015), "The Next Generation of the Penn World Table" American Economic Review, 105(10), 3150-3182, available for download at www.ggdc.net/pwt

For more information, see http://www.rug.nl/research/ggdc/data/pwt/.
# Popularity: 3

# Observations
realtime_start,realtime_end,date,value
2025-12-12,2025-12-12,1950-01-01,68.73409731172204
2025-12-12,2025-12-12,1951-01-01,69.07386747802838
2025-12-12,2025-12-12,1952-01-01,69.44882094557944
2025-12-12,2025-12-12,1953-01-01,69.8468948682342
2025-12-12,2025-12-12,1954-01-01,70.26406829727897
2025-12-12,2025-12-12,1955-01-01,70.6943098096432
2025-12-12,2025-12-12,1956-01-01,71.13962987968375
2025-12-12,2025-12-12,1957-01-01,71.60505469329273
2025-12-12,2025-12-12,1958-01-01,72.09762091071907
2025-12-12,2025-12-12,1959-01-01,72.62537042939016
2025-12-12,2025-12-12,1960-01-01,73.19634514673335
2025-12-12,2025-12-12,1961-01-01,73.80953982557024
2025-12-12,2025-12-12,1962-01-01,74.45691256847344
2025-12-12,2025-12-12,1963-01-01,75.11534292033927
2025-12-12,2025-12-12,1964-01-01,75.75768947735037
2025-12-12,2025-12-12,1965-01-01,76.36183702158145
2025-12-12,2025-12-12,1966-01-01,76.91974365560516
2025-12-12,2025-12-12,1967-01-01,77.43040414224308
2025-12-12,2025-12-12,1968-01-01,77.883766109711
2025-12-12,2025-12-12,1969-01-01,78.2687719490463
2025-12-12,2025-12-12,1970-01-01,78.578385
2025-12-12,2025-12-12,1971-01-01,78.78993899999999
2025-12-12,2025-12-12,1972-01-01,78.90181799999999
2025-12-12,2025-12-12,1973-01-01,78.93245499999999
2025-12-12,2025-12-12,1974-01-01,78.909807
2025-12-12,2025-12-12,1975-01-01,78.856039
2025-12-12,2025-12-12,1976-01-01,78.781733
2025-12-12,2025-12-12,1977-01-01,78.68732299999999
2025-12-12,2025-12-12,1978-01-01,78.57358599999999
2025-12-12,2025-12-12,1979-01-01,78.438164
2025-12-12,2025-12-12,1980-01-01,78.28309999999999
2025-12-12,2025-12-12,1981-01-01,78.107857
2025-12-12,2025-12-12,1982-01-01,77.926011
2025-12-12,2025-12-12,1983-01-01,77.770213
2025-12-12,2025-12-12,1984-01-01,77.682295
2025-12-12,2025-12-12,1985-01-01,77.69159499999999
2025-12-12,2025-12-12,1986-01-01,77.806147
2025-12-12,2025-12-12,1987-01-01,78.015731
2025-12-12,2025-12-12,1988-01-01,78.307525
2025-12-12,2025-12-12,1989-01-01,78.660303
2025-12-12,2025-12-12,1990-01-01,79.053984
2025-12-12,2025-12-12,1991-01-01,79.49083499999999
2025-12-12,2025-12-12,1992-01-01,79.96315899999999
2025-12-12,2025-12-12,1993-01-01,80.428556
2025-12-12,2025-12-12,1994-01-01,80.832937
2025-12-12,2025-12-12,1995-01-01,81.13865899999999
2025-12-12,2025-12-12,1996-01-01,81.323664
2025-12-12,2025-12-12,1997-01-01,81.39925099999999
2025-12-12,2025-12-12,1998-01-01,81.402673
2025-12-12,2025-12-12,1999-01-01,81.389927
2025-12-12,2025-12-12,2000-01-01,81.400882
2025-12-12,2025-12-12,2001-01-01,81.453885
2025-12-12,2025-12-12,2002-01-01,81.535122
2025-12-12,2025-12-12,2003-01-01,81.61438
2025-12-12,2025-12-12,2004-01-01,81.646474
2025-12-12,2025-12-12,2005-01-01,81.602741
2025-12-12,2025-12-12,2006-01-01,81.47222599999999
2025-12-12,2025-12-12,2007-01-01,81.27783
2025-12-12,2025-12-12,2008-01-01,81.065752
2025-12-12,2025-12-12,2009-01-01,80.89996099999999
2025-12-12,2025-12-12,2010-01-01,80.827002
2025-12-12,2025-12-12,2011-01-01,80.855632
2025-12-12,2025-12-12,2012-01-01,80.972628
2025-12-12,2025-12-12,2013-01-01,81.17436699999999
2025-12-12,2025-12-12,2014-01-01,81.450378
2025-12-12,2025-12-12,2015-01-01,81.78741099999999
2025-12-12,2025-12-12,2016-01-01,82.19376799999999
2025-12-12,2025-12-12,2017-01-01,82.65840899999999
2025-12-12,2025-12-12,2018-01-01,83.12441799999999
2025-12-12,2025-12-12,2019-01-01,83.517045
