# Series Metadata
# Series ID: POP
# Title: Total Population: All Ages including Armed Forces Overseas
# Frequency: Monthly
# Units: Thousands
# Seasonal Adjustment: Not Seasonally Adjusted
# Observation Start: 1952-01-01
# Observation End: 2025-12-01
# Last Updated: 2024-12-23 14:49:01-06
# Notes: The intercensal estimates for 1990-2000 for the United States population are produced by converting the 1990-2000 postcensal estimates prepared previously for the U. S. to account for differences between the postcensal estimates in 2000 and census counts (error of closure). The postcensal estimates for 1990 to 2000 were produced by updating the resident population enumerated in the 1990 census by estimates of the components of population change between April 1, 1990 and April 1, 2000-- births to U.S. resident women, deaths to U.S. residents, net international migration (incl legal & residual foreign born), and net movement of the U.S. armed forces and civilian citizens to the United States. Intercensal population estimates for 1990 to 2000 are derived from the postcensal estimates by distributing the error of closure over the decade by month. The method used for the 1990s for distributing the error of closure is the same that was used for the 1980s. This method produces an intercensal estimate as a function of time and the postcensal estimates,using the following formula: the population at time t is equal to the postcensal estimate at time t multiplied by a function. The function is the April 1, 2000 census count divided by the April 1, 2000 postcensal estimate raised to the power of t divided by 3653.
# Popularity: 42

# Observations
realtime_start,realtime_end,date,value
2025-12-12,2025-12-12,1952-01-01,156309.0
2025-12-12,2025-12-12,1952-02-01,156527.0
2025-12-12,2025-12-12,1952-03-01,156731.0
2025-12-12,2025-12-12,1952-04-01,156943.0
2025-12-12,2025-12-12,1952-05-01,157140.0
2025-12-12,2025-12-12,1952-06-01,157343.0
2025-12-12,2025-12-12,1952-07-01,157553.0
2025-12-12,2025-12-12,1952-08-01,157798.0
2025-12-12,2025-12-12,1952-09-01,158053.0
2025-12-12,2025-12-12,1952-10-01,158306.0
2025-12-12,2025-12-12,1952-11-01,158451.0
2025-12-12,2025-12-12,1952-12-01,158757.0
2025-12-12,2025-12-12,1953-01-01,158973.0
2025-12-12,2025-12-12,1953-02-01,159170.0
2025-12-12,2025-12-12,1953-03-01,159349.0
2025-12-12,2025-12-12,1953-04-01,159556.0
2025-12-12,2025-12-12,1953-05-01,159745.0
2025-12-12,2025-12-12,1953-06-01,159956.0
2025-12-12,2025-12-12,1953-07-01,160184.0
2025-12-12,2025-12-12,1953-08-01,160449.0
2025-12-12,2025-12-12,1953-09-01,160718.0
2025-12-12,2025-12-12,1953-10-01,160978.0
2025-12-12,2025-12-12,1953-11-01,161223.0
2025-12-12,2025-12-12,1953-12-01,161453.0
2025-12-12,2025-12-12,1954-01-01,161690.0
2025-12-12,2025-12-12,1954-02-01,161912.0
2025-12-12,2025-12-12,1954-03-01,162124.0
2025-12-12,2025-12-12,1954-04-01,162350.0
2025-12-12,2025-12-12,1954-05-01,162564.0
2025-12-12,2025-12-12,1954-06-01,162790.0
2025-12-12,2025-12-12,1954-07-01,163026.0
2025-12-12,2025-12-12,1954-08-01,163290.0
2025-12-12,2025-12-12,1954-09-01,163570.0
2025-12-12,2025-12-12,1954-10-01,163847.0
2025-12-12,2025-12-12,1954-11-01,164107.0
2025-12-12,2025-12-12,1954-12-01,164349.0
2025-12-12,2025-12-12,1955-01-01,164588.0
2025-12-12,2025-12-12,1955-02-01,164809.0
2025-12-12,2025-12-12,1955-03-01,165018.0
2025-12-12,2025-12-12,1955-04-01,165251.0
2025-12-12,2025-12-12,1955-05-01,165463.0
2025-12-12,2025-12-12,1955-06-01,165695.0
2025-12-12,2025-12-12,1955-07-01,165931.0
2025-12-12,2025-12-12,1955-08-01,166192.0
2025-12-12,2025-12-12,1955-09-01,166473.0
2025-12-12,2025-12-12,1955-10-01,166755.0
2025-12-12,2025-12-12,1955-11-01,167023.0
2025-12-12,2025-12-12,1955-12-01,167270.0
2025-12-12,2025-12-12,1956-01-01,167513.0
2025-12-12,2025-12-12,1956-02-01,167746.0
2025-12-12,2025-12-12,1956-03-01,167977.0
2025-12-12,2025-12-12,1956-04-01,168221.0
2025-12-12,2025-12-12,1956-05-01,168436.0
2025-12-12,2025-12-12,1956-06-01,168659.0
2025-12-12,2025-12-12,1956-07-01,168903.0
2025-12-12,2025-12-12,1956-08-01,169191.0
2025-12-12,2025-12-12,1956-09-01,169488.0
2025-12-12,2025-12-12,1956-10-01,169780.0
2025-12-12,2025-12-12,1956-11-01,170063.0
2025-12-12,2025-12-12,1956-12-01,170315.0
2025-12-12,2025-12-12,1957-01-01,170571.0
2025-12-12,2025-12-12,1957-02-01,170806.0
2025-12-12,2025-12-12,1957-03-01,171029.0
2025-12-12,2025-12-12,1957-04-01,171271.0
2025-12-12,2025-12-12,1957-05-01,171501.0
2025-12-12,2025-12-12,1957-06-01,171741.0
2025-12-12,2025-12-12,1957-07-01,171984.0
2025-12-12,2025-12-12,1957-08-01,172257.0
2025-12-12,2025-12-12,1957-09-01,172538.0
2025-12-12,2025-12-12,1957-10-01,172816.0
2025-12-12,2025-12-12,1957-11-01,173070.0
2025-12-12,2025-12-12,1957-12-01,173298.0
2025-12-12,2025-12-12,1958-01-01,173533.0
2025-12-12,2025-12-12,1958-02-01,173746.0
2025-12-12,2025-12-12,1958-03-01,173945.0
2025-12-12,2025-12-12,1958-04-01,174176.0
2025-12-12,2025-12-12,1958-05-01,174397.0
2025-12-12,2025-12-12,1958-06-01,174639.0
2025-12-12,2025-12-12,1958-07-01,174882.0
2025-12-12,2025-12-12,1958-08-01,175143.0
2025-12-12,2025-12-12,1958-09-01,175413.0
2025-12-12,2025-12-12,1958-10-01,175697.0
2025-12-12,2025-12-12,1958-11-01,175966.0
2025-12-12,2025-12-12,1958-12-01,176207.0
2025-12-12,2025-12-12,1959-01-01,176447.0
2025-12-12,2025-12-12,1959-02-01,176685.0
2025-12-12,2025-12-12,1959-03-01,176905.0
2025-12-12,2025-12-12,1959-04-01,177146.0
2025-12-12,2025-12-12,1959-05-01,177365.0
